,Dividend Yield,Mkt Cap (Rs. Cr.),TTM EPS See historical trend,Open,Stock,Year,Total Assets,Minority Interest,Net CashFlow From Operating Activities,Total Shareholders Funds,Total Current Assets,Cash And Cash Equivalents,Current Investments,Total Current Liabilities,Long Term Borrowings,Short Term Borrowings,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Finance Costs,Other Income,Net Cash Used In Investing Activities,Inventories,Current Assets,Current Liabilities,Working Capital,Minority Interest Balance Sheet,Other Income PnL,EBIT,ROC,Current_Ratio,Quick_Ratio,BookToMkt,Net Debt,TEV,EarningYield
78,0.60,14878,2.95  (-25.95% YoY),155.55,hindustancopper,23,2985.27,"Attribute
Minority Interest    0.00
Minority Interest    0.04
Minority Interest    0.04
Name: First Date, dtype: object",673.58,2082.17,701.24,301.04,0.0,838.15,17.2,139.18,395.67,15.93,"Attribute
Other Income    95.87
Other Income    95.87
Name: First Date, dtype: object",-337.30,116.53,400.2,698.97,-298.77000000000004,0.00,95.87,315.73,0.16295657828862822,0.5725567620927936,0.40584002174628375,0.13994958999865573,-283.84000000000003,14594.16,0.0216339960641791
79,0.00,36045,58.81  (+355.37% YoY),253.65,hindustanpetroleumcorporation,23,161339.51,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",-3466.31,32263.27,43976.02,672.4,5168.89,73865.89,48171.47,18876.83,-12475.43,2174.11,"Attribute
Other Income    1465.91
Other Income    1465.91
Name: First Date, dtype: object",-11383.55,29575.0,38134.729999999996,54989.06,-16854.33,0.00,1465.91,-11767.23,-0.11929571183536923,0.6934966700649183,0.15566241721535148,0.8950830905812179,47499.07,83544.07,-0.14085057144091734
80,1.53,600650,43.81  (+12.36% YoY),2518.35,hindustanunilever,23,73087.00,"Attribute
Minority Interest    218.00
Minority Interest    -23.00
Name: First Date, dtype: object",9991.00,50304.0,16998.0,4678.0,2811.0,12028.0,0.0,98.0,13410.0,114.0,512.00,-1494.00,4251.0,9509.0,11930.0,-2421.0,218.00,512.00,13012.0,0.2845770273816814,0.7970662196144175,0.4407376362112322,0.08374927162240905,-4678.0,596190.0,0.021825257048927356
81,0.84,667585,53.24  (+29.11% YoY),954.9,icicibank,23,1958490.50,"Attribute
Minority Interest     6686.75
Minority Interest    -1424.67
Minority Interest    -1424.67
Name: First Date, dtype: object",-3771.19,,,,,,,,,,"Attribute
Other Income    65111.99
Other Income    65111.99
Name: First Date, dtype: object",-68005.32,,,,,6686.75,65111.99,,,,,,,,
82,0.76,64546,0.00  (+24.09% YoY),1320.0,icicilombardgeneralinsurancecompany,23,55086.20,,2290.13,10443.44,11076.48,203.13,0.0,44445.15,35.0,0.0,2112.53,80.62,"Attribute
Other Income    994.78
Other Income    994.78
Name: First Date, dtype: object",-1685.08,0.0,10873.35,44445.15,-33571.8,,994.78,1198.3700000000001,0.11662616505000822,0.24464649123695162,0.24464649123695162,0.16179840733740278,-168.13,,
83,0.11,75564,6.00  (-21.66% YoY),544.0,iciciprudentiallifeinsurancecompany,23,255851.30,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",89.49,10089.33,5724.79,775.22,0.0,5694.41,1200.0,0.0,1370.49,113.18,"Attribute
Other Income    1967.87
Other Income     919.09
Name: First Date, dtype: object",-1145.41,0.0,4949.57,5694.41,-744.8400000000001,0.00,1967.87,-484.1999999999998,-0.04605240006049012,0.8691980380759377,0.8691980380759377,0.13352032713990789,424.78,75988.78,-0.006371993339016626
84,0.00,64587,3.87  (+94.37% YoY),92.6,idfcfirstbank,23,239882.05,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",3563.00,,,,,,,,,,4467.28,-11995.74,,,,,0.00,4467.28,,,,,,,,
85,8.73,20152,26.60  (+484.23% YoY),124.95,idfc,23,11686.21,"Attribute
Minority Interest     0.00
Minority Interest    -0.04
Name: First Date, dtype: object",0.00,11597.2,11603.18,377.46,11220.62,45.73,0.0,0.0,90.56,0.0,0.41,0.00,0.0,5.100000000000364,45.73,-40.62999999999963,0.00,0.41,90.15,0.008034945551322935,0.1115241635687812,0.1115241635687812,0.5754863040889242,-377.46,19774.54,0.004558892393957078
86,3.46,559009,15.96  (+20.39% YoY),447.2,itc,23,85882.98,"Attribute
Minority Interest     383.53
Minority Interest    -285.06
Name: First Date, dtype: object",18877.55,69155.26,39670.89,4880.19,17232.86,13739.41,3.49,35.32,25793.21,43.2,1980.49,-5732.29,11914.13,17557.839999999997,13704.09,3853.7499999999964,383.53,1980.49,23855.92,0.37092957227895434,1.281211667465698,0.41182668823686924,0.12371045904448764,-4876.7,554515.8300000001,0.04302117037849036
87,0.00,7092,-9.50,230.6,indiacements,23,11467.22,"Attribute
Minority Interest    50.45
Minority Interest     0.00
Minority Interest    -1.88
Name: First Date, dtype: object",-19.46,5776.3,3426.86,64.87,3.97,2826.55,1801.24,1138.29,-563.94,241.68,40.11,434.85,784.66,3358.0200000000004,1688.2600000000002,1669.7600000000002,50.45,40.11,-362.37000000000006,-0.041887836725635084,1.9890419722080723,1.5242675891154207,0.8144811054709532,1736.37,8878.82,-0.040812855762364826
88,0.70,8387,24.12  (-8.51% YoY),177.5,indiabullshousingfinance,23,74945.24,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",0.00,17361.25,72070.41,5232.23,5370.23,57132.93,0.0,52403.47,1603.85,5636.49,6.51,0.00,0.0,61467.95000000001,4729.459999999999,56738.49000000001,0.00,6.51,7233.83,0.11209593803059512,12.996822047337332,12.996822047337332,2.070019077143198,-5232.23,3154.7700000000004,2.2929817387638396
89,0.71,17334,52.28  (-37.60% YoY),2830.0,indiamartintermesh,23,3444.63,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",475.83,2058.49,2363.37,58.28,2271.83,856.06,0.0,0.0,409.18,8.15,"Attribute
Other Income    180.53
Other Income    180.50
Name: First Date, dtype: object",-324.01,0.0,33.25999999999976,856.06,-822.8000000000002,0.00,180.53,236.79999999999998,0.11838756930522296,0.038852416886666546,0.038852416886666546,0.1187544709818853,-58.28,17275.72,0.013707098748995698
90,0.00,11877,3.51  (-0.14% YoY),134.4,indianenergyexchange,23,1453.41,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",-22.62,799.1,771.67,64.61,689.49,610.44,0.0,0.0,388.57,2.46,73.25,70.26,0.0,17.569999999999936,610.44,-592.8700000000001,0.00,73.25,317.78,0.4326539503601138,0.02878251752834011,0.02878251752834011,0.06728129999158036,-64.61,11812.39,0.026902261100420828
91,0.24,58925,7.43  (+428.56% YoY),417.45,indianhotelscompany,23,13668.75,"Attribute
Minority Interest    660.09
Minority Interest    -50.24
Name: First Date, dtype: object",1618.99,7981.96,2590.34,1053.43,757.33,2119.15,330.98,487.28,1291.35,236.05,138.90,-144.58,109.21,779.58,1631.8700000000001,-852.2900000000001,660.09,138.90,1388.4999999999998,0.17923552852213626,0.4777218773554266,0.4107986543045708,0.13545965210012728,-722.45,58862.64,0.023588816267839836
92,3.34,126668,17.36  (-12.66% YoY),89.0,indianoilcorporation,23,441762.09,"Attribute
Minority Interest     3494.10
Minority Interest    -1912.14
Name: First Date, dtype: object",29643.72,139720.24,158865.49,2096.64,10436.54,206658.33,63312.94,76801.88,14175.5,7541.36,"Attribute
Other Income    4198.92
Other Income    4198.92
Name: First Date, dtype: object",-28029.56,121107.58,146332.30999999997,129856.44999999998,16475.859999999986,3494.10,4198.92,17517.940000000002,0.0630735207610096,1.126877486640055,0.19425088241669913,1.1030429153377332,61216.3,191378.4,0.09153561739464852
93,0.78,56368,0.00  (+20.09% YoY),710.0,irctc-indianrailwaycateringtourismcorp,23,5088.76,,810.12,2478.4,4352.65,1933.73,0.0,2391.37,0.0,0.0,1326.81,16.11,"Attribute
Other Income    120.43
Other Income    120.43
Name: First Date, dtype: object",-315.14,9.61,2418.9199999999996,2391.37,27.549999999999727,,120.43,1222.4899999999998,2.2444599482255305,1.0115205927982702,1.0075019758548445,0.04396820891285836,-1933.73,,
94,2.82,32228,24.01  (-1.46% YoY),460.85,indraprasthagas,23,12620.60,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",2230.59,7931.24,4227.9,2633.23,419.13,4231.58,0.0,0.0,1868.74,10.59,202.91,-841.36,49.17,1175.5399999999995,4231.58,-3056.0400000000004,0.00,202.91,1676.4199999999998,0.3164244688099871,0.27780167218863866,0.2661818989597265,0.24609780315253815,-2633.23,29594.77,0.05664581951473182
95,0.00,51958,10.80  (-46.45% YoY),188.25,industowers,23,46572.40,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",7904.80,21109.5,8707.6,22.4,275.6,8162.8,2434.0,2278.6,3252.1,1453.9,"Attribute
Other Income    361.30
Other Income    361.30
Name: First Date, dtype: object",-1730.00,0.0,8409.6,5884.200000000001,2525.3999999999996,0.00,361.30,4344.7,0.1684011829594918,1.4291832364637502,1.4291832364637502,0.4062800723661419,2411.6,54369.6,0.07991046467143403
96,0.99,110435,102.14  (+46.07% YoY),1430.95,indusindbank,23,457836.63,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",-12442.28,,,,,,,,,,8172.77,-560.16,,,,,0.00,8172.77,,,,,,,,
97,0.45,55186,-9.87,4259.0,infoedgeindia,23,16660.30,"Attribute
Minority Interest    1027.85
Minority Interest     -36.95
Name: First Date, dtype: object",520.79,13398.02,3690.63,571.46,754.68,1348.94,1.4,1.02,880.88,7.34,392.85,-366.62,0.0,2364.4900000000002,1347.92,1016.5700000000002,1027.85,392.85,495.37,0.038613358193714545,1.7541768057451481,1.7541768057451481,0.24277932809045774,-570.0600000000001,55643.79,0.008902520838354109
98,2.28,620233,59.46  (+12.00% YoY),1497.0,infosys,23,125816.00,"Attribute
Minority Interest    388.00
Minority Interest    -13.00
Minority Interest    -13.00
Name: First Date, dtype: object",22467.00,75407.0,70881.0,12173.0,6909.0,39186.0,0.0,0.0,33322.0,284.0,2701.00,-1209.00,0.0,51799.0,39186.0,12613.0,388.00,2701.00,30905.0,0.4887402346838726,1.3218751594957383,1.3218751594957383,0.12157850356237092,-12173.0,608448.0,0.050793165562217316
99,0.00,97727,99.77  (+194.86% YoY),2521.0,interglobeaviation,23,59169.82,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",12727.94,-6252.4,26148.71,11839.69,11558.03,23851.15,0.0,2252.34,-304.39,3131.73,1434.97,-4059.49,591.07,2750.989999999998,21598.81,-18847.820000000003,0.00,1434.97,1392.3700000000001,-0.08790353383102638,0.12736766516303435,0.10000180565503367,-0.06397822505551178,-11839.69,85887.31,0.016211591677513244
100,0.42,23893,19.36  (-31.83% YoY),955.7,ipcalaboratories,23,8626.43,"Attribute
Minority Interest    73.30
Minority Interest    -7.67
Name: First Date, dtype: object",805.81,5842.02,5189.27,1853.24,323.32,1805.82,651.78,805.75,745.29,45.54,125.62,-725.00,1743.37,3012.7100000000005,1000.0699999999999,2012.6400000000006,73.30,125.62,665.2099999999999,0.12213957707144835,3.0124991250612463,1.2692511524193313,0.24450759636713684,-1201.46,22764.84,0.02922093895674206
101,0.47,24617,48.96  (-42.49% YoY),3143.45,jkcement,23,13285.06,"Attribute
Minority Interest    -44.40
Minority Interest      7.25
Minority Interest      7.25
Name: First Date, dtype: object",1377.08,4686.75,3738.25,833.27,70.82,2946.83,4100.97,894.14,631.29,312.18,87.41,-2014.78,982.12,2834.16,2052.69,781.4699999999998,-44.40,87.41,856.0600000000001,0.09674535716989939,1.3807053183870919,0.9022502180066156,0.19038672462119674,3267.7000000000003,27840.3,0.030748950262748608
102,0.44,190073,23.08  (-64.24% YoY),776.0,jswsteel,23,211078.00,"Attribute
Minority Interest    1344.00
Minority Interest       5.00
Name: First Date, dtype: object",23323.00,65728.0,68150.0,20714.0,5.0,69963.0,61933.0,16876.0,5201.0,6902.0,1030.00,-10711.00,33135.0,47431.0,53087.0,-5656.0,1344.00,1030.00,11073.0,0.08942603555074582,0.8934579087158815,0.26929380074217796,0.345803980575884,41219.0,232636.0,0.04759796420158531
103,0.29,70646,28.11  (-67.34% YoY),698.25,jindalsteelpower,23,69427.23,"Attribute
Minority Interest     312.53
Minority Interest    -800.15
Minority Interest    -800.15
Name: First Date, dtype: object",7275.51,38706.59,15475.68,4716.83,764.86,15498.69,7207.63,5227.66,5855.1,1445.89,57.05,-4018.50,5886.78,9993.99,10271.03,-277.0400000000009,312.53,57.05,7243.9400000000005,0.1560351577435027,0.9730270479202182,0.39988297181490073,0.5478949975936358,2490.8,73449.33,0.0986249976684607
104,0.23,35071,4.08  (-41.93% YoY),530.5,jubilantfoodworks,23,5382.13,"Attribute
Minority Interest    0.00
Minority Interest    0.17
Name: First Date, dtype: object",1026.16,2037.79,685.81,256.91,124.04,1028.96,182.71,0.0,514.85,201.23,50.41,-594.86,177.0,304.8599999999999,1028.96,-724.1000000000001,0.00,50.41,665.6700000000001,0.3390066154339756,0.2962797387653552,0.124261390141502,0.0581047018904508,-74.20000000000002,34996.8,0.01902088190920313
105,0.08,352065,82.11  (+25.03% YoY),1760.05,kotakmahindrabank,23,620429.73,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",-1242.43,,,,,,,,,,"Attribute
Other Income    25990.97
Other Income    26233.27
Name: First Date, dtype: object",-10550.18,,,,,0.00,25990.97,,,,,,,,
106,1.51,32988,7.62  (+63.38% YoY),- -,ltfinanceholdings,23,106362.14,"Attribute
Minority Interest    89.44
Minority Interest    86.77
Name: First Date, dtype: object",7490.47,21528.37,102677.38,12748.91,14366.2,45551.67,38903.86,44139.59,2130.65,5797.24,526.75,-1106.98,0.0,75562.27,1412.0800000000017,74150.19,89.44,526.75,7401.139999999999,0.08060232462682788,53.51132372103557,53.51132372103557,0.6526121619983024,26154.95,59232.39,0.12495089257752387
107,0.95,50253,114.15  (+18.65% YoY),4823.95,lttechnologyservices,23,6917.30,"Attribute
Minority Interest    18.00
Minority Interest    -4.30
Name: First Date, dtype: object",1305.10,4950.9,5141.0,689.9,2108.8,1513.9,0.0,0.0,1643.7,43.5,208.00,-571.80,0.0,2342.3,1513.9,828.4000000000001,18.00,208.00,1479.2,0.3471485566768364,1.5471959838826872,1.5471959838826872,0.09851949137364932,-689.9,49581.1,0.029833948823241117
108,1.14,155190,150.52  (+8.22% YoY),5280.0,ltimindtree,23,23496.10,"Attribute
Minority Interest     7.10
Minority Interest    -2.00
Name: First Date, dtype: object",3094.60,16592.1,17185.8,2932.0,4741.8,5482.6,0.0,125.3,5791.5,150.4,"Attribute
Other Income    556.90
Other Income    556.90
Name: First Date, dtype: object",-330.90,3.3,9512.0,5357.3,4154.7,7.10,556.90,5385.0,0.3906306672276467,1.7755212513766263,1.7749052694454297,0.106914749661705,-2932.0,152265.1,0.03536595056910612
109,0.78,434139,80.12  (+22.41% YoY),3090.0,larsentoubro,23,330352.31,"Attribute
Minority Interest    14241.27
Minority Interest    -2059.90
Name: First Date, dtype: object",22776.96,89325.95,222204.32,22519.6,35573.42,162065.99,61217.68,57295.7,16973.04,3207.16,2929.17,-8311.70,6828.78,164111.3,104770.29,59341.009999999995,14241.27,2929.17,17251.03,0.0930879297093731,1.5663915791394678,1.5012129870023267,0.20575426303557154,38698.08,487078.35000000003,0.0354173614984119
110,0.50,21562,10.46  (-32.88% YoY),401.9,lauruslabs,23,7660.40,"Attribute
Minority Interest    11.13
Minority Interest    -3.32
Minority Interest    -3.32
Name: First Date, dtype: object",993.90,4037.53,3461.68,48.46,0.0,2432.26,761.42,1210.55,1108.94,165.17,"Attribute
Other Income    6.00
Other Income    6.00
Name: First Date, dtype: object",-996.06,1684.81,3413.22,1221.7100000000003,2191.5099999999993,11.13,6.00,1268.1100000000001,0.21273301303128314,2.793805403901089,1.4147465437788014,0.18725211019385957,712.9599999999999,22286.09,0.05690141249541755
111,0.34,52799,21.34  (+144.93% YoY),1151.0,lupin,23,22955.93,"Attribute
Minority Interest     78.32
Minority Interest    -17.61
Name: First Date, dtype: object",1897.24,12464.5,12451.3,1293.13,439.77,9265.37,27.51,4216.54,716.49,274.3,"Attribute
Other Income    73.36
Other Income    73.36
Name: First Date, dtype: object",-1286.77,4491.76,10718.399999999998,5048.830000000001,5669.569999999997,78.32,73.36,917.43,0.05951378554719885,2.122947296700423,1.233283750888819,0.23607454686641793,-1265.6200000000001,51611.7,0.017775620644156265
112,0.16,45693,"2,909.85  (0.00% YoY)",107320.0,mrf,23,24369.41,"Attribute
Minority Interest     0.16
Minority Interest    -0.01
Minority Interest       --
Name: First Date, dtype: object",2755.47,14707.66,9243.68,258.49,1974.84,7495.32,823.58,1605.92,1069.74,319.0,252.67,-1923.47,4141.05,7010.35,5889.4,1120.9500000000007,0.16,252.67,1136.07,0.06730802841693095,1.1903334804903727,0.48719733758956774,0.32187993784605956,565.09,46258.25,0.024559294828490053
113,2.34,10986,0.00  (+68.36% YoY),1112.45,mahanagargas,23,6032.31,,969.30,4134.22,2006.22,227.87,1309.82,1561.17,0.0,0.0,1055.54,9.39,111.88,-649.09,33.84,468.53,1561.17,-1092.64,,111.88,953.0500000000001,0.24397455425141115,0.30011465759654615,0.27843860694222916,0.3763171308938649,-227.87,,
114,2.07,35898,17.74  (-25.70% YoY),291.8,mahindramahindrafinancialservices,23,105084.77,"Attribute
Minority Interest    141.35
Minority Interest      1.20
Name: First Date, dtype: object",-17395.31,18560.09,102348.38,4066.91,10063.13,48586.64,37274.16,44154.4,2816.5,5094.3,"Attribute
Other Income    132.87
Other Income    132.87
Name: First Date, dtype: object",-1635.37,0.0,88218.34,4432.239999999998,83786.1,141.35,132.87,7777.93,0.0810862063177753,19.9037822861578,19.9037822861578,0.5170229539250097,33207.25,69246.6,0.11232219343621203
115,1.04,193530,93.24  (+24.22% YoY),1540.0,mahindramahindra,23,205891.77,"Attribute
Minority Interest    10716.32
Minority Interest    -1092.98
Name: First Date, dtype: object",-7074.02,56365.79,91325.44,11273.43,14265.92,70579.41,55027.39,33739.62,11305.27,5829.7,"Attribute
Other Income    1206.49
Other Income    1206.49
Name: First Date, dtype: object",-8547.26,16854.97,65786.09000000001,36839.79,28946.30000000001,10716.32,1206.49,15928.480000000001,0.11899413541241081,1.785734663525498,1.3282138687544096,0.29125091717046453,43753.96,248000.28,0.06422766942037324
116,2.07,12286,20.20  (+45.64% YoY),145.5,manappuramfinance,23,39504.13,"Attribute
Minority Interest    20.34
Minority Interest    -4.19
Minority Interest    -4.19
Name: First Date, dtype: object",-3103.24,9644.89,38115.43,3035.1,534.01,22944.8,6658.29,21824.65,2041.05,2187.79,65.91,-616.16,0.0,34546.32,1120.1499999999978,33426.17,20.34,65.91,4162.93,0.1186265645334518,30.84079810739639,30.84079810739639,0.7850309295132671,3623.19,15929.53,0.2613341385464606
117,0.84,69350,10.50  (+9.15% YoY),540.0,marico,23,6946.00,"Attribute
Minority Interest    157.00
Minority Interest    -20.00
Name: First Date, dtype: object",1419.00,3799.0,3820.0,756.0,578.0,2429.0,2.0,473.0,1743.0,56.0,144.00,-929.00,1225.0,2486.0,1956.0,530.0,157.00,144.00,1655.0,0.47043774872086414,1.270961145194274,0.6446830265848671,0.054780100937274694,-754.0,68753.0,0.024071676872281938
118,0.86,314529,321.11  (+118.38% YoY),10349.95,marutisuzukiindia,23,84596.90,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",9251.40,61791.3,11615.6,41.6,0.0,20107.3,0.0,1215.8,10145.7,187.0,"Attribute
Other Income    2140.70
Other Income    2140.70
Name: First Date, dtype: object",-8036.10,4283.5,11574.0,18891.5,-7317.5,0.00,2140.70,8192.0,0.13010299290881513,0.6126564857210915,0.38591430008204747,0.19645660654502448,-41.6,314487.4,0.026048738359629033
119,0.00,31393,11.87  (+41.98% YoY),898.6,maxfinancialservices,23,131823.78,"Attribute
Minority Interest    450.26
Minority Interest    -73.41
Name: First Date, dtype: object",9922.28,3518.24,129612.2,1044.46,5430.88,126491.9,520.66,0.0,527.21,37.46,18.39,-9227.65,0.0,123136.85999999999,126491.9,-3355.040000000008,450.26,18.39,546.2800000000001,0.18243143960139463,0.9734762463050993,0.9734762463050993,0.11207084381868569,-523.8000000000001,31319.46,0.017442190893457298
120,0.55,7463,27.00  (-19.99% YoY),1487.7,metropolishealthcare,23,1501.61,"Attribute
Minority Interest     2.48
Minority Interest    -0.51
Name: First Date, dtype: object",247.09,988.23,302.73,93.19,13.06,264.97,28.61,50.44,187.5,26.8,15.22,46.79,44.59,196.48000000000002,214.53000000000003,-18.05000000000001,2.48,15.22,199.08,0.20437536572595966,0.9158625833216799,0.7080128653335198,0.13241725847514405,-64.58,7400.9,0.02689943115026551
121,2.03,46461,86.56  (+9.04% YoY),2483.0,mphasis,23,11609.46,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",1461.77,7934.84,5953.03,1053.44,1367.88,2797.84,0.0,198.48,2173.06,97.26,161.60,182.48,0.0,3531.71,2599.36,932.3499999999999,0.00,161.60,2108.7200000000003,0.29784685616140394,1.358684445401945,1.358684445401945,0.17078495942833774,-1053.44,45407.56,0.04643984393788172
122,0.89,10998,24.94  (-12.35% YoY),2136.0,multicommodityexchangeindia,23,3022.75,"Attribute
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",141.42,2069.06,1625.94,1177.86,202.4,897.6,0.0,0.0,195.55,0.21,67.66,-8.08,0.0,245.68000000000015,897.6,-651.9199999999998,0.00,67.66,128.10000000000002,0.14373877917414724,0.2737076648841356,0.2737076648841356,0.18813056919439897,-1177.86,9820.14,0.013044620545124614
