,date,df_heading,text,SourceTag,Heading NER,Text NER,hf_heading,heading labels,heading scores
0,"October 01, 2023 09:09 PM IST",RPSG group's Guiltfree faces Rs 39 crore GST demand notice,"Informing the bourses, the company said the show cause cum demand notice came from the Kolkata zone office. This notice amount also includes interest and penalties.",buss_news1,"['RPSG', 'Rs 39']",['Kolkata'],RPSG group's Guiltfree faces Rs 39 crore GST demand notice,"['negative', 'positive']","[0.9416203498840332, 0.05837960168719292]"
1,"October 01, 2023 09:09 PM IST",RPSG group's Guiltfree faces Rs 39 crore GST demand notice,"Informing the bourses, the company said the show cause cum demand notice came from the Kolkata zone office. This notice amount also includes interest and penalties.",buss_news1,"['RPSG', 'Rs 39']",['Kolkata'],RPSG group's Guiltfree faces Rs 39 crore GST demand notice,"['negative', 'positive']","[0.9416203498840332, 0.05837960168719292]"
2,"October 01, 2023 09:09 PM IST",RPSG group's Guiltfree faces Rs 39 crore GST demand notice,"Informing the bourses, the company said the show cause cum demand notice came from the Kolkata zone office. This notice amount also includes interest and penalties.",india_news1,"['RPSG', 'Rs 39']",['Kolkata'],RPSG group's Guiltfree faces Rs 39 crore GST demand notice,"['negative', 'positive']","[0.9416203498840332, 0.05837960168719292]"
3,"October 01, 2023 09:09 PM IST",RPSG group's Guiltfree faces Rs 39 crore GST demand notice,"Informing the bourses, the company said the show cause cum demand notice came from the Kolkata zone office. This notice amount also includes interest and penalties.",india_news1,"['RPSG', 'Rs 39']",['Kolkata'],RPSG group's Guiltfree faces Rs 39 crore GST demand notice,"['negative', 'positive']","[0.9416203498840332, 0.05837960168719292]"
4,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",buss_news1,[],['the last three years'],Federal student loan payments are starting again. Here's what you need to know,"['negative', 'positive']","[0.6943721771240234, 0.30562785267829895]"
5,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",buss_news1,[],['the last three years'],Federal student loan payments are starting again. Here's what you need to know,"['negative', 'positive']","[0.6943721771240234, 0.30562785267829895]"
6,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",buss_news1,[],['the last three years'],Federal student loan payments are starting again. Here's what you need to know,"['negative', 'positive']","[0.6943721771240234, 0.30562785267829895]"
7,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",economy_news1,[],['the last three years'],Federal student loan payments are starting again. Here's what you need to know,"['negative', 'positive']","[0.6943721771240234, 0.30562785267829895]"
8,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",economy_news1,[],['the last three years'],Federal student loan payments are starting again. Here's what you need to know,"['negative', 'positive']","[0.6943721771240234, 0.30562785267829895]"
9,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",economy_news1,[],['the last three years'],Federal student loan payments are starting again. Here's what you need to know,"['negative', 'positive']","[0.6943721771240234, 0.30562785267829895]"
10,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",stock_news1,[],['the last three years'],Federal student loan payments are starting again. Here's what you need to know,"['negative', 'positive']","[0.6943721771240234, 0.30562785267829895]"
11,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",stock_news1,[],['the last three years'],Federal student loan payments are starting again. Here's what you need to know,"['negative', 'positive']","[0.6943721771240234, 0.30562785267829895]"
12,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",stock_news1,[],['the last three years'],Federal student loan payments are starting again. Here's what you need to know,"['negative', 'positive']","[0.6943721771240234, 0.30562785267829895]"
13,"October 01, 2023 09:05 PM IST",Dalai Lama cancels sermons after doctors advice him rest,"On the advice of His Holiness the Dalai Lama's personal physicians, His Holiness will take rest due to a persistent cold,""a statement said.",buss_news1,[],"[""His Holiness the Dalai Lama's"", 'Holiness']",Dalai Lama cancels sermons after doctors advice him rest,"['negative', 'positive']","[0.8897811770439148, 0.11021885275840759]"
14,"October 01, 2023 08:29 PM IST",Fire at nightclub in Spain's southeastern city of Murcia kills 13,"The fire started around 6 am in the popular Teatre nightclub and quickly tore through the venue, according to Spain's state news agency EFE.",buss_news1,"['Spain', 'Murcia', '13']","['6 am', 'Teatre', 'Spain', 'EFE']",Fire at nightclub in Spain's southeastern city of Murcia kills 13,"['negative', 'positive']","[0.9374537467956543, 0.0625462681055069]"
15,"October 01, 2023 08:29 PM IST",Fire at nightclub in Spain's southeastern city of Murcia kills 13,"The fire started around 6 am in the popular Teatre nightclub and quickly tore through the venue, according to Spain's state news agency EFE.",buss_news1,"['Spain', 'Murcia', '13']","['6 am', 'Teatre', 'Spain', 'EFE']",Fire at nightclub in Spain's southeastern city of Murcia kills 13,"['negative', 'positive']","[0.9374537467956543, 0.0625462681055069]"
16,"October 01, 2023 08:29 PM IST",Fire at nightclub in Spain's southeastern city of Murcia kills 13,"The fire started around 6 am in the popular Teatre nightclub and quickly tore through the venue, according to Spain's state news agency EFE.",world_news1,"['Spain', 'Murcia', '13']","['6 am', 'Teatre', 'Spain', 'EFE']",Fire at nightclub in Spain's southeastern city of Murcia kills 13,"['negative', 'positive']","[0.9374537467956543, 0.0625462681055069]"
17,"October 01, 2023 08:29 PM IST",Fire at nightclub in Spain's southeastern city of Murcia kills 13,"The fire started around 6 am in the popular Teatre nightclub and quickly tore through the venue, according to Spain's state news agency EFE.",world_news1,"['Spain', 'Murcia', '13']","['6 am', 'Teatre', 'Spain', 'EFE']",Fire at nightclub in Spain's southeastern city of Murcia kills 13,"['negative', 'positive']","[0.9374537467956543, 0.0625462681055069]"
