,Stock,Dividend Yield,Mkt Cap (Rs. Cr.),TTM EPS See historical trend,Open,Open,Year,Total Assets,Minority Interest,Net CashFlow From Operating Activities,Total Shareholders Funds,Total Current Assets,Cash And Cash Equivalents,Current Investments,Total Current Liabilities,Long Term Borrowings,Short Term Borrowings,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Finance Costs,Other Income,Net Cash Used In Investing Activities,Inventories,Current Assets,Current Liabilities,Working Capital,Minority Interest Balance Sheet,Other Income PnL,EBIT,ROC,BookToMkt,Net Debt,TEV,EarningYield,Rank EarningYield,Rank ROC,CombRank,MagicFormulaRank,CombinedRank
10,ashokleyland,1.43,53511,"6.06  (+10,769.01% YoY)",183.25,- -,23,54728.53,"Attribute
Minority Interest    2244.81
Minority Interest    -120.85
Minority Interest    -120.85
Name: First Date, dtype: object",-4499.26,8553.93,24243.44,2186.72,3511.34,22454.95,19502.86,11417.58,2209.95,2093.5,"Attribute
Other Income    110.77
Other Income    110.77
Name: First Date, dtype: object",-2934.96,3440.43,18545.379999999997,11037.37,7508.009999999997,2244.81,110.77,4192.679999999999,0.11244151884068852,0.15985367494533834,1161.8,56917.61,0.07366226375281744,31.0,98.0,172.0,59.0,40.0
11,asianpaints,0.80,308320,48.37  (+33.36% YoY),3206.3,- -,23,25798.00,"Attribute
Minority Interest    453.66
Minority Interest    -88.88
Minority Interest    -88.88
Name: First Date, dtype: object",4193.43,15992.23,16535.16,843.82,2697.0,7895.93,76.15,896.06,5643.85,144.45,"Attribute
Other Income    386.48
Other Income    386.48
Name: First Date, dtype: object",-1274.64,6210.64,12994.34,6999.870000000001,5994.469999999999,453.66,386.48,5401.82,0.33508760829298123,0.05186893487285937,2943.61,311717.26999999996,0.01732922914408945,104.0,21.0,192.0,52.0,52.0
12,astrallimited,0.18,50842,18.20  (-26.66% YoY),1909.8,- -,23,4373.10,"Attribute
Minority Interest    247.70
Minority Interest    -15.90
Minority Interest    -15.90
Name: First Date, dtype: object",556.90,2711.2,2249.2,682.1,0.0,1333.7,31.6,45.7,618.5,40.0,"Attribute
Other Income    26.70
Other Income    26.70
Name: First Date, dtype: object",-479.70,874.60,1567.1,1288.0,279.0999999999999,247.70,26.70,631.8,0.2999430307633878,0.05332599032296133,17316.14,68405.84,0.009236053529932531,121.0,25.0,279.0,75.0,104.0
13,atul,0.45,21099,153.46  (-24.88% YoY),7182.0,- -,23,5767.98,"Attribute
Minority Interest    48.04
Minority Interest     7.46
Minority Interest     7.46
Name: First Date, dtype: object",706.69,4671.38,2090.97,52.03,189.57,840.23,28.71,18.27,684.01,7.9,"Attribute
Other Income    114.87
Other Income    114.87
Name: First Date, dtype: object",-469.36,820.72,1849.37,821.96,1027.4099999999999,48.04,114.87,577.04,0.12366034978237712,0.22140291009052562,-767.6700000000001,20379.370000000003,0.02831490865517432,79.0,87.0,264.0,96.0,97.0
14,aurobindopharma,0.34,52149,33.75  (-17.56% YoY),894.6,- -,23,39889.99,"Attribute
Minority Interest    12.00
Minority Interest    -0.15
Minority Interest    -0.15
Name: First Date, dtype: object",2386.75,26839.85,21545.67,6084.2,151.0,11493.78,618.96,4242.56,2624.17,140.48,"Attribute
Other Income    290.59
Other Income    290.59
Name: First Date, dtype: object",-3977.75,8511.23,15310.469999999998,7251.22,8059.249999999997,12.00,290.59,2474.06,0.09657819345384366,0.5146762162265816,-650.5,51510.5,0.048030207433435904,52.0,113.0,279.0,93.0,105.0
15,bajajauto,2.70,146655,231.17  (+8.61% YoY),5176.0,- -,23,35136.45,"Attribute
Minority Interest    0.01
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",5277.42,29361.54,9650.4,690.48,4581.35,5270.74,0.0,0.0,7312.69,39.51,"Attribute
Other Income    1187.52
Other Income    1187.52
Name: First Date, dtype: object",1199.52,1563.55,4378.57,5270.74,-892.1700000000001,0.01,1187.52,6164.68,0.21501402459483535,0.200208243837578,-23.32,146631.69,0.042041935136940725,58.0,46.0,128.0,34.0,20.0
16,bajajfinance,0.40,456802,203.80  (+42.69% YoY),7488.65,- -,23,275228.67,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",-42140.40,54371.98,271593.53,4304.52,22751.84,84954.14,135141.09,81549.4,15526.19,12559.89,"Attribute
Other Income    8.31
Other Income    8.31
Name: First Date, dtype: object",-10365.25,0.00,244537.17,3404.7400000000052,241132.43,0.00,8.31,28077.77,0.10525560718996381,0.1190274560969523,-5465.24,451336.76,0.062210244075842615,37.0,104.0,248.0,70.0,86.0
17,bajajfinserv,0.26,247420,44.26  (+40.06% YoY),1554.9,- -,23,405509.19,"Attribute
Minority Interest    31190.74
Minority Interest    -5792.26
Minority Interest    -5792.26
Name: First Date, dtype: object",-39479.54,46407.34,398596.91,5377.22,136175.73,193883.81,129891.88,81549.4,16809.94,12201.42,"Attribute
Other Income    0.77
Other Income    0.77
Name: First Date, dtype: object",-13945.21,0.00,257043.96,112334.41,144709.55,31190.74,0.77,29010.59,0.11490644088795801,0.18756503112117046,,,,148.0,95.0,,134.0,
18,balkrishnaindustries,0.63,49302,55.99  (-23.34% YoY),2503.9,- -,23,12347.66,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",1447.97,7556.93,3927.95,76.33,774.6,3349.27,1038.09,2303.66,1434.79,48.04,"Attribute
Other Income    346.53
Other Income    346.53
Name: First Date, dtype: object",-1783.09,1667.37,3077.02,1045.6100000000001,2031.4099999999999,0.00,346.53,1136.3,0.1049956802358083,0.15327836598920938,-690.48,48611.52,0.023375117667581678,87.0,105.0,271.0,114.0,100.0
19,balrampurchinimills,0.57,8892,17.11  (-12.74% YoY),437.0,- -,23,5428.52,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",452.92,2895.58,2577.74,11.9,61.25,1964.43,428.75,1449.87,396.68,48.65,"Attribute
Other Income    62.79
Other Income    62.79
Name: First Date, dtype: object",-858.75,2318.92,2504.5899999999997,514.5600000000002,1990.0299999999995,0.00,62.79,382.53999999999996,0.08032673288117086,0.3256387764282501,130836.56999999999,139728.57,0.002737736455758475,134.0,126.0,346.0,141.0,126.0
20,bataindia,0.81,21438,24.16  (+6.40% YoY),1673.05,- -,23,3271.66,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",628.82,1438.21,1613.51,531.2,0.0,822.44,0.0,0.0,429.84,107.85,"Attribute
Other Income    38.69
Other Income    38.69
Name: First Date, dtype: object",438.53,904.56,1082.31,822.44,259.8699999999999,0.00,38.69,498.99999999999994,0.5501593146712825,0.06708694840936655,124514.66,145952.66,0.003418916791239022,132.0,6.0,204.0,68.0,58.0
21,bergerpaintsindia,0.43,72575,9.89  (+1.58% YoY),739.85,- -,23,7967.17,"Attribute
Minority Interest     8.14
Minority Interest    -0.98
Minority Interest    -0.98
Name: First Date, dtype: object",975.97,4494.12,4164.45,244.69,52.96,2974.55,7.77,759.88,1175.51,99.23,"Attribute
Other Income    51.57
Other Income    51.57
Name: First Date, dtype: object",-600.25,2319.12,3866.7999999999997,2214.67,1652.1299999999997,8.14,51.57,1223.17,0.24380117518556607,0.06192380296245263,961.7599999999999,73544.9,0.016631608717939655,106.0,36.0,246.0,74.0,84.0
22,bharatelectronics,1.31,100071,4.32  (-61.59% YoY),140.0,- -,23,35491.17,"Attribute
Minority Interest    17.75
Minority Interest    -1.82
Minority Interest    -1.82
Name: First Date, dtype: object",1266.86,13861.63,30047.74,8111.58,0.0,20565.78,0.0,0.0,3922.91,14.95,"Attribute
Other Income    280.80
Other Income    280.80
Name: First Date, dtype: object",2690.84,6448.04,21936.160000000003,20565.78,1370.3800000000047,17.75,280.80,3657.0599999999995,0.63600490430518,0.13851795225389973,416.85,100505.6,0.03638662920275088,66.0,5.0,117.0,12.0,19.0
23,bharatforge,0.62,52530,15.09  (-35.69% YoY),1119.9,- -,23,18384.19,"Attribute
Minority Interest    36.07
Minority Interest    19.98
Minority Interest    19.98
Name: First Date, dtype: object",1294.47,6705.53,9002.02,1039.52,1050.06,8276.86,1751.27,5101.06,906.17,298.62,"Attribute
Other Income    172.86
Other Income    172.86
Name: First Date, dtype: object",-1671.33,3126.25,6912.4400000000005,3175.8,3736.6400000000003,36.07,172.86,1031.9299999999998,0.08243345363682404,0.12765143727393868,,,,148.0,121.0,,144.0,
24,bharatheavyelectricals,0.32,43038,0.92  (-54.59% YoY),126.0,- -,23,59369.79,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",-741.52,26828.03,30082.28,6642.58,0.0,23351.45,0.0,5385.0,423.42,521.43,"Attribute
Other Income    488.63
Other Income    488.63
Name: First Date, dtype: object",1480.46,6755.90,23439.699999999997,17966.45,5473.249999999996,0.00,488.63,456.2199999999999,0.01784168835511303,0.6233568009665876,,,,148.0,148.0,,155.0,
25,bharatpetroleumcorporation,1.13,76477,87.23  (+598.12% YoY),354.0,- -,23,188108.77,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",12465.60,53522.36,56012.93,2574.38,4277.14,74841.71,41369.36,19085.25,2272.13,3745.38,"Attribute
Other Income    1498.22
Other Income    1498.22
Name: First Date, dtype: object",-7806.41,38069.19,49161.41,55756.46000000001,-6595.050000000003,0.00,1498.22,4519.29,0.0405671896856258,0.6998491049596611,-531.2,75945.8,0.05950677983509292,38.0,142.0,230.0,105.0,72.0
26,bhartiairtel,0.44,519410,14.64  (+46.71% YoY),911.0,- -,23,446633.20,"Attribute
Minority Interest    28881.40
Minority Interest    -3941.50
Minority Interest    -3941.50
Name: First Date, dtype: object",65324.60,90794.8,57501.3,13418.6,4704.5,121963.8,151568.6,13976.2,16478.4,19299.9,"Attribute
Other Income    936.60
Other Income    936.60
Name: First Date, dtype: object",-39080.20,257.60,39378.200000000004,107987.6,-68609.4,28881.40,936.60,34841.700000000004,0.14342811037333125,0.17480371960493638,-236.92,548054.48,0.0635734243062843,36.0,77.0,214.0,41.0,64.0
27,biocon,0.55,32800,3.50  (-40.68% YoY),273.95,- -,23,52042.80,"Attribute
Minority Interest    4621.90
Minority Interest    -180.30
Minority Interest    -180.30
Name: First Date, dtype: object",1852.50,17866.9,12334.0,2400.1,1326.5,8510.7,15290.5,2480.2,1355.5,419.0,"Attribute
Other Income    375.90
Other Income    375.90
Name: First Date, dtype: object",-14281.80,4243.70,8607.4,6030.500000000001,2576.8999999999987,4621.90,375.90,1398.6,0.042078977059044745,0.5447225609756098,-8111.58,29310.32,0.04771698159556088,54.0,140.0,281.0,117.0,107.0
28,birlasoft,0.72,13364,12.64  (-24.81% YoY),488.0,- -,23,3187.27,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",560.92,2448.29,2169.77,553.49,489.03,624.02,0.0,0.0,442.42,18.59,"Attribute
Other Income    22.81
Other Income    22.81
Name: First Date, dtype: object",251.69,0.00,1127.25,624.02,503.23,0.00,22.81,438.2,0.23126451340510873,0.18320038910505837,711.75,14075.75,0.03113155604497096,72.0,40.0,185.0,40.0,48.0
29,bosch,2.49,56968,508.82  (+16.17% YoY),19586.7,- -,23,16252.30,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",1213.70,11005.1,8833.6,2057.1,690.1,5023.5,0.0,0.0,1882.2,12.1,"Attribute
Other Income    473.20
Other Income    473.20
Name: First Date, dtype: object",261.70,1902.90,6086.4,5023.5,1062.8999999999996,0.00,473.20,1421.1,0.15881761287438534,0.19318038196882462,-6642.58,50325.42,0.02823821440536413,80.0,69.0,176.0,79.0,44.0
30,britanniaindustries,1.59,109051,101.38  (+65.83% YoY),4596.2,- -,23,9352.72,"Attribute
Minority Interest    30.23
Minority Interest     5.45
Minority Interest     5.45
Name: First Date, dtype: object",2526.21,3534.27,4746.23,197.98,1800.99,4134.4,1551.8,1428.71,2651.76,169.1,"Attribute
Other Income    215.86
Other Income    215.86
Name: First Date, dtype: object",-1517.06,1193.26,2747.26,2705.6899999999996,41.57000000000062,30.23,215.86,2605.0,0.41239235055724416,0.03240933141374219,38794.98,147876.21000000002,0.017616085778774014,103.0,12.0,151.0,44.0,31.0
31,chambalfertiliserschemicals,2.66,11747,24.77  (-32.46% YoY),281.0,- -,23,12770.07,"Attribute
Minority Interest    -15.19
Minority Interest      0.43
Minority Interest      0.43
Name: First Date, dtype: object",3239.26,7147.26,5638.74,57.63,1837.3,3152.14,1741.26,1514.86,1358.8,320.02,"Attribute
Other Income    167.76
Other Income    167.76
Name: First Date, dtype: object",-1873.16,1373.83,3743.8099999999995,1637.28,2106.5299999999997,-15.19,167.76,1511.06,0.14605610999685859,0.6084327913509833,138150.0,149881.81,0.010081677022715431,120.0,75.0,220.0,118.0,67.0
32,cholamandalaminvestmentfinancecompany,0.17,98618,34.20  (+17.75% YoY),1185.0,- -,23,113626.90,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",-27105.05,14346.1,112175.01,3007.1,3561.87,74919.69,24171.31,73186.19,3614.59,5748.03,"Attribute
Other Income    221.49
Other Income    221.49
Name: First Date, dtype: object",-2148.41,0.00,105606.04,1733.5,103872.54,0.00,221.49,9141.13,0.0840977400376277,0.14547141495467358,12890.4,111508.4,0.08197705284983015,28.0,120.0,282.0,78.0,109.0
33,cipla,0.69,100083,38.49  (+23.83% YoY),1243.25,- -,23,29463.28,"Attribute
Minority Interest    305.76
Minority Interest    -30.98
Minority Interest        --
Name: First Date, dtype: object",3237.65,23407.78,17274.95,1564.62,3089.86,5109.67,0.0,520.36,4220.77,109.54,"Attribute
Other Income    475.45
Other Income    475.45
Name: First Date, dtype: object",-2388.51,5156.43,12620.470000000001,4589.31,8031.160000000001,305.76,475.45,3854.8600000000006,0.17237268551641247,0.23388367654846476,-553.49,99835.26999999999,0.03861220588675727,62.0,62.0,200.0,51.0,56.0
34,coalindia,8.53,175206,44.30  (+18.59% YoY),279.5,- -,23,211206.65,"Attribute
Minority Interest    770.68
Minority Interest     40.25
Minority Interest     40.25
Name: First Date, dtype: object",35686.21,57244.89,108082.7,39921.85,4054.01,68734.64,4106.25,8.48,38008.95,684.31,"Attribute
Other Income    6550.66
Other Income    6550.66
Name: First Date, dtype: object",-23422.99,8154.68,64106.840000000004,68726.16,-4619.32,770.68,6550.66,32142.599999999995,1.4993443814351954,0.3267290503749872,-2057.1,173919.58,0.18481300380325205,8.0,2.0,12.0,1.0,1.0
35,coforgelimited,1.18,33218,115.71  (+2.45% YoY),5530.0,- -,23,5683.40,"Attribute
Minority Interest     87.40
Minority Interest    -51.30
Minority Interest    -51.30
Name: First Date, dtype: object",950.50,3082.5,2606.4,578.7,0.0,1739.3,338.2,0.0,1003.5,80.6,"Attribute
Other Income    61.90
Other Income    61.90
Name: First Date, dtype: object",-271.60,0.00,2027.7,1739.3,288.4000000000001,87.40,61.90,1022.1999999999999,0.35967628430682613,0.0927960744174845,1353.82,34659.22,0.02949287375768987,76.0,15.0,139.0,25.0,26.0
36,containercorporationindia,1.48,45222,18.42  (+2.69% YoY),732.9,- -,23,13464.94,"Attribute
Minority Interest    101.82
Minority Interest      0.40
Minority Interest      0.40
Name: First Date, dtype: object",1405.83,11230.61,4121.4,3102.12,121.78,1350.18,44.55,6.36,1542.05,63.89,"Attribute
Other Income    313.40
Other Income    313.40
Name: First Date, dtype: object",-593.44,37.18,897.4999999999998,1343.8200000000002,-446.3200000000004,101.82,313.40,1292.54,0.15802381592781864,0.24834394763610634,6540.54,51864.36,0.024921545354073586,85.0,70.0,196.0,87.0,55.0
37,coromandelinternational,1.10,32121,68.20  (+18.54% YoY),1108.5,- -,23,14234.80,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",590.97,7907.79,10243.61,1417.76,0.0,5856.49,0.0,4.6,2725.34,190.01,"Attribute
Other Income    171.13
Other Income    171.13
Name: First Date, dtype: object",639.04,4416.45,8825.85,5851.889999999999,2973.960000000001,0.00,171.13,2744.2200000000003,0.4225367726875896,0.24618754086111888,,,,148.0,11.0,,88.0,
38,cromptongreavesconsumerelectrical,0.98,19574,7.19  (-24.65% YoY),304.95,- -,23,5654.43,"Attribute
Minority Interest    447.71
Minority Interest    -13.19
Minority Interest    -13.19
Name: First Date, dtype: object",552.59,2659.99,2258.29,109.48,547.83,1736.93,597.18,325.0,612.15,109.18,"Attribute
Other Income    66.78
Other Income    66.78
Name: First Date, dtype: object",263.16,743.85,1600.98,1411.93,189.04999999999995,447.71,66.78,654.55,0.18848500729981657,0.13589404311842238,1683.6299999999999,21705.34,0.03015617354991905,75.0,56.0,189.0,63.0,51.0
39,cumminsindia,1.45,47910,49.92  (+56.37% YoY),1712.3,- -,23,7918.64,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",819.66,5758.24,5098.47,1386.23,1047.92,1890.35,0.0,350.04,1397.61,16.24,"Attribute
Other Income    308.15
Other Income    308.15
Name: First Date, dtype: object",69.14,903.66,2664.32,1540.31,1124.0100000000002,0.00,308.15,1105.6999999999998,0.23415677512944588,0.1201886871216865,21164.210000000003,69074.21,0.01600742158325082,107.0,39.0,188.0,76.0,49.0
40,dlf,0.77,129298,8.46  (+28.21% YoY),525.95,- -,23,53927.99,"Attribute
Minority Interest    4.36
Minority Interest    1.88
Minority Interest    1.88
Name: First Date, dtype: object",2375.26,37687.53,25770.69,2274.72,470.72,11184.76,1049.66,2053.43,1502.42,392.14,"Attribute
Other Income    317.31
Other Income    317.31
Name: First Date, dtype: object",-462.62,19361.23,23025.249999999996,9131.33,13893.919999999996,4.36,317.31,1577.25,0.04095062039313634,0.2914780584386456,-1564.62,127737.74,0.01234756462733723,118.0,141.0,329.0,140.0,122.0
41,daburindia,0.93,99438,9.77  (-0.65% YoY),565.0,- -,23,13654.37,"Attribute
Minority Interest    468.17
Minority Interest      5.82
Minority Interest      5.82
Name: First Date, dtype: object",1488.43,8973.26,4248.96,325.92,736.47,3609.43,298.84,700.18,2220.31,78.24,"Attribute
Other Income    445.39
Other Income    445.39
Name: First Date, dtype: object",-586.54,2024.20,3186.5699999999997,2909.25,277.3199999999997,468.17,445.39,1853.1599999999999,0.19210976990284415,0.09023974738027717,,,,148.0,55.0,,122.0,
42,dalmiabharat,0.39,43407,51.67  (-12.94% YoY),2358.0,- -,23,25543.00,"Attribute
Minority Interest    116.00
Minority Interest    -44.00
Minority Interest    -44.00
Name: First Date, dtype: object",2252.00,15628.0,7350.0,285.0,2935.0,4460.0,3210.0,532.0,915.0,234.0,"Attribute
Other Income    138.00
Other Income    138.00
Name: First Date, dtype: object",-2326.00,1316.00,4130.0,3928.0,202.0,116.00,138.00,1011.0,0.05297353942887084,0.3600340958831525,-35815.6,7707.4000000000015,0.13117263928172923,15.0,138.0,261.0,82.0,93.0
43,deepaknitrite,0.34,30193,56.26  (-23.16% YoY),2248.9,- -,23,5128.74,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",649.92,4089.96,2739.07,39.95,376.87,793.76,43.02,11.46,1145.88,24.78,"Attribute
Other Income    47.58
Other Income    47.58
Name: First Date, dtype: object",-276.05,893.07,2322.2500000000005,782.3,1539.9500000000005,0.00,47.58,1123.0800000000002,0.273622301430872,0.13546053721061174,-240.50000000000006,29952.5,0.03749536766547033,63.0,30.0,208.0,27.0,60.0
44,deltacorp,0.71,4736,10.16  (+77.51% YoY),177.0,- -,23,2546.85,"Attribute
Minority Interest     2.09
Minority Interest    -0.94
Minority Interest    -0.94
Name: First Date, dtype: object",154.04,2218.99,1051.35,128.66,534.8,223.25,0.0,0.0,328.47,9.61,"Attribute
Other Income    46.39
Other Income    46.39
Name: First Date, dtype: object",-73.00,193.40,387.89,223.25,164.64,2.09,46.39,291.69000000000005,0.13954256026560402,0.4685367398648648,-3057.5699999999997,1680.5200000000002,0.17357127555756552,9.0,78.0,161.0,19.0,35.0
45,divislaboratories,0.79,100337,55.65  (-52.43% YoY),3774.0,- -,23,14438.77,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",2459.73,12767.09,9311.74,4213.09,0.0,1101.08,0.0,0.0,2368.63,0.67,"Attribute
Other Income    344.66
Other Income    344.66
Name: First Date, dtype: object",-2707.62,3000.41,5098.65,1101.08,3997.5699999999997,0.00,344.66,2024.64,0.2366892681786299,0.12724209414273896,-1417.76,98919.24,0.02046760569531266,96.0,38.0,202.0,65.0,57.0
46,dixontechnologies,0.06,29053,46.78  (+27.54% YoY),4918.75,- -,23,4679.43,"Attribute
Minority Interest    -0.28
Minority Interest     0.44
Minority Interest     0.44
Name: First Date, dtype: object",725.75,1284.91,3139.27,229.18,30.0,2940.99,145.23,37.39,343.16,60.57,"Attribute
Other Income    5.61
Other Income    5.61
Name: First Date, dtype: object",-355.55,957.87,2880.09,2903.6,-23.509999999999764,-0.28,5.61,398.12,0.32149230831348163,0.04422641379547723,487.69999999999993,29540.420000000002,0.013477127271717869,116.0,22.0,276.0,69.0,103.0
